 sig=    1.000000000000000      inputfile=
 /home/rjrj524/project3/20251121_pwo/nc/wout_QA_nfp2_A6.nc                                                                                                                                               
 dt=   2.0000000000000001E-009
 steps=      2000000
 x0=   7.4770000000000003E-002    3.077500000000000      
    6.411400000000000     
 u=    2000.000000000000     
 v_perp=    20000.00000000000     
 
time(s)         r       z        zeta      s
    9.8000000000E-08    1.3090891011E+00   -4.1639817140E-02    6.4115444901E+00    7.4769887392E-02
    1.9800000000E-07    1.3090820765E+00   -4.1676345123E-02    6.4116919255E+00    7.4769772400E-02
    2.9800000000E-07    1.3090750452E+00   -4.1712870628E-02    6.4118393572E+00    7.4769657323E-02
    3.9800000000E-07    1.3090680072E+00   -4.1749393651E-02    6.4119867854E+00    7.4769542159E-02
    4.9800000000E-07    1.3090609625E+00   -4.1785914190E-02    6.4121342100E+00    7.4769426910E-02
    5.9800000000E-07    1.3090539111E+00   -4.1822432245E-02    6.4122816310E+00    7.4769311574E-02
    6.9800000000E-07    1.3090468531E+00   -4.1858947812E-02    6.4124290485E+00    7.4769196153E-02
    7.9800000000E-07    1.3090397883E+00   -4.1895460889E-02    6.4125764623E+00    7.4769080645E-02
    8.9800000000E-07    1.3090327168E+00   -4.1931971475E-02    6.4127238726E+00    7.4768965052E-02
    9.9800000000E-07    1.3090256386E+00   -4.1968479567E-02    6.4128712792E+00    7.4768849373E-02
    1.0980000000E-06    1.3090185537E+00   -4.2004985164E-02    6.4130186823E+00    7.4768733607E-02
    1.1980000000E-06    1.3090114622E+00   -4.2041488263E-02    6.4131660817E+00    7.4768617756E-02
    1.2980000000E-06    1.3090043639E+00   -4.2077988862E-02    6.4133134776E+00    7.4768501819E-02
    1.3980000000E-06    1.3089972590E+00   -4.2114486959E-02    6.4134608698E+00    7.4768385796E-02
    1.4980000000E-06    1.3089901473E+00   -4.2150982553E-02    6.4136082584E+00    7.4768269687E-02
    1.5980000000E-06    1.3089830290E+00   -4.2187475640E-02    6.4137556435E+00    7.4768153492E-02
    1.6980000000E-06    1.3089759040E+00   -4.2223966219E-02    6.4139030249E+00    7.4768037211E-02
    1.7980000000E-06    1.3089687722E+00   -4.2260454289E-02    6.4140504026E+00    7.4767920844E-02
    1.8980000000E-06    1.3089616339E+00   -4.2296939846E-02    6.4141977768E+00    7.4767804391E-02
    1.9980000000E-06    1.3089544888E+00   -4.2333422889E-02    6.4143451474E+00    7.4767687852E-02
    2.0980000000E-06    1.3089473370E+00   -4.2369903416E-02    6.4144925143E+00    7.4767571227E-02
    2.1980000000E-06    1.3089401786E+00   -4.2406381425E-02    6.4146398776E+00    7.4767454517E-02
    2.2980000000E-06    1.3089330134E+00   -4.2442856914E-02    6.4147872373E+00    7.4767337720E-02
    2.3980000000E-06    1.3089258416E+00   -4.2479329880E-02    6.4149345933E+00    7.4767220837E-02
    2.4980000000E-06    1.3089186631E+00   -4.2515800321E-02    6.4150819457E+00    7.4767103869E-02
    2.5980000000E-06    1.3089114780E+00   -4.2552268236E-02    6.4152292944E+00    7.4766986815E-02
    2.6980000000E-06    1.3089042861E+00   -4.2588733623E-02    6.4153766396E+00    7.4766869674E-02
    2.7980000000E-06    1.3088970876E+00   -4.2625196479E-02    6.4155239810E+00    7.4766752448E-02
    2.8980000000E-06    1.3088898824E+00   -4.2661656803E-02    6.4156713189E+00    7.4766635136E-02
    2.9980000000E-06    1.3088826706E+00   -4.2698114591E-02    6.4158186531E+00    7.4766517738E-02
    3.0980000000E-06    1.3088754520E+00   -4.2734569844E-02    6.4159659836E+00    7.4766400254E-02
    3.1980000000E-06    1.3088682268E+00   -4.2771022557E-02    6.4161133105E+00    7.4766282684E-02
    3.2980000000E-06    1.3088609949E+00   -4.2807472730E-02    6.4162606337E+00    7.4766165029E-02
    3.3980000000E-06    1.3088537564E+00   -4.2843920359E-02    6.4164079533E+00    7.4766047287E-02
    3.4980000000E-06    1.3088465112E+00   -4.2880365444E-02    6.4165552692E+00    7.4765929459E-02
    3.5980000000E-06    1.3088392593E+00   -4.2916807982E-02    6.4167025814E+00    7.4765811546E-02
    3.6980000000E-06    1.3088320008E+00   -4.2953247971E-02    6.4168498900E+00    7.4765693547E-02
    3.7980000000E-06    1.3088247355E+00   -4.2989685409E-02    6.4169971949E+00    7.4765575462E-02
    3.8980000000E-06    1.3088174637E+00   -4.3026120294E-02    6.4171444961E+00    7.4765457291E-02
    3.9980000000E-06    1.3088101851E+00   -4.3062552624E-02    6.4172917937E+00    7.4765339034E-02
    4.0980000000E-06    1.3088028999E+00   -4.3098982397E-02    6.4174390876E+00    7.4765220691E-02
    4.1980000000E-06    1.3087956081E+00   -4.3135409610E-02    6.4175863778E+00    7.4765102262E-02
    4.2980000000E-06    1.3087883096E+00   -4.3171834262E-02    6.4177336643E+00    7.4764983748E-02
    4.3980000000E-06    1.3087810044E+00   -4.3208256351E-02    6.4178809471E+00    7.4764865147E-02
    4.4980000000E-06    1.3087736926E+00   -4.3244675875E-02    6.4180282263E+00    7.4764746461E-02
    4.5980000000E-06    1.3087663741E+00   -4.3281092831E-02    6.4181755017E+00    7.4764627689E-02
    4.6980000000E-06    1.3087590489E+00   -4.3317507218E-02    6.4183227735E+00    7.4764508831E-02
    4.7980000000E-06    1.3087517172E+00   -4.3353919034E-02    6.4184700416E+00    7.4764389887E-02
    4.8980000000E-06    1.3087443787E+00   -4.3390328276E-02    6.4186173060E+00    7.4764270857E-02
    4.9980000000E-06    1.3087370336E+00   -4.3426734943E-02    6.4187645666E+00    7.4764151742E-02
    5.0980000000E-06    1.3087296819E+00   -4.3463139032E-02    6.4189118236E+00    7.4764032540E-02
    5.1980000000E-06    1.3087223235E+00   -4.3499540541E-02    6.4190590769E+00    7.4763913253E-02
    5.2980000000E-06    1.3087149584E+00   -4.3535939469E-02    6.4192063264E+00    7.4763793880E-02
    5.3980000000E-06    1.3087075868E+00   -4.3572335814E-02    6.4193535723E+00    7.4763674421E-02
    5.4980000000E-06    1.3087002084E+00   -4.3608729572E-02    6.4195008144E+00    7.4763554876E-02
    5.5980000000E-06    1.3086928235E+00   -4.3645120743E-02    6.4196480528E+00    7.4763435246E-02
    5.6980000000E-06    1.3086854319E+00   -4.3681509325E-02    6.4197952875E+00    7.4763315529E-02
    5.7980000000E-06    1.3086780336E+00   -4.3717895314E-02    6.4199425185E+00    7.4763195727E-02
    5.8980000000E-06    1.3086706287E+00   -4.3754278710E-02    6.4200897458E+00    7.4763075839E-02
    5.9980000000E-06    1.3086632172E+00   -4.3790659509E-02    6.4202369693E+00    7.4762955865E-02
    6.0980000000E-06    1.3086557990E+00   -4.3827037711E-02    6.4203841891E+00    7.4762835805E-02
